dataset,recording,derivation,median_abs_uV
chbmit,chbmit_v1.0.0/chb04/chb04_05.edf,F7-T7,204.151
chbmit,chbmit_v1.0.0/chb09/chb09_11.edf,C4-P4,201.807
chbmit,chbmit_v1.0.0/chb09/chb09_11.edf,Fp2-F8,205.714
chbmit,chbmit_v1.0.0/chb09/chb09_11.edf,T7-P7,226.813
chbmit,chbmit_v1.0.0/chb13/chb13_16.edf,C3-P3,259.634
chbmit,chbmit_v1.0.0/chb13/chb13_16.edf,P3-O1,259.243
chbmit,chbmit_v1.0.0/chb17/chb17b_69.edf,C3-P3,0.195
chbmit,chbmit_v1.0.0/chb17/chb17b_69.edf,C4-P4,0.195
chbmit,chbmit_v1.0.0/chb17/chb17b_69.edf,Cz-Pz,0.195
chbmit,chbmit_v1.0.0/chb17/chb17b_69.edf,F3-C3,0.195
chbmit,chbmit_v1.0.0/chb17/chb17b_69.edf,F4-C4,0.195
chbmit,chbmit_v1.0.0/chb17/chb17b_69.edf,F7-T7,0.195
chbmit,chbmit_v1.0.0/chb17/chb17b_69.edf,F8-T8,0.195
chbmit,chbmit_v1.0.0/chb17/chb17b_69.edf,Fp1-F3,0.195
chbmit,chbmit_v1.0.0/chb17/chb17b_69.edf,Fp1-F7,0.195
chbmit,chbmit_v1.0.0/chb17/chb17b_69.edf,Fp2-F4,0.195
chbmit,chbmit_v1.0.0/chb17/chb17b_69.edf,Fp2-F8,0.195
chbmit,chbmit_v1.0.0/chb17/chb17b_69.edf,Fz-Cz,0.195
chbmit,chbmit_v1.0.0/chb17/chb17b_69.edf,P3-O1,0.195
chbmit,chbmit_v1.0.0/chb17/chb17b_69.edf,P4-O2,0.195
chbmit,chbmit_v1.0.0/chb17/chb17b_69.edf,P7-O1,0.195
chbmit,chbmit_v1.0.0/chb17/chb17b_69.edf,P8-O2,0.195
chbmit,chbmit_v1.0.0/chb17/chb17b_69.edf,T7-P7,0.195
chbmit,chbmit_v1.0.0/chb17/chb17b_69.edf,T8-P8,0.195
chbmit,chbmit_v1.0.0/chb24/chb24_21.edf,C3-P3,228.767
chbmit,chbmit_v1.0.0/chb24/chb24_21.edf,F3-C3,228.767
siena,siena_v1.0.0/PN01/PN01-1.edf,Fp2-F4,619.712
