dataset,raw_label,kind,canonical,status,n_recordings
chbmit,-,placeholder,,excluded: empty placeholder channel,292
chbmit,.,placeholder,,excluded: empty placeholder channel,64
chbmit,01,electrode,O1,used,2
chbmit,C2,electrode,C2,"recognized, not needed for the montage",2
chbmit,C2-CS2,electrode,C2 (ref CS2),"recognized, not needed for the montage",1
chbmit,C3,electrode,C3,used,2
chbmit,C3-CS2,electrode,C3 (ref CS2),used,1
chbmit,C3-P3,bipolar,C3-P3,used,683
chbmit,C4,electrode,C4,used,2
chbmit,C4-CS2,electrode,C4 (ref CS2),used,1
chbmit,C4-P4,bipolar,C4-P4,used,683
chbmit,C6,electrode,C6,"recognized, not needed for the montage",2
chbmit,C6-CS2,electrode,C6 (ref CS2),"recognized, not needed for the montage",1
chbmit,CP1-Ref,electrode,CP1 (ref REF),"recognized, not needed for the montage",40
chbmit,CP2,electrode,CP2,"recognized, not needed for the montage",2
chbmit,CP2-CS2,electrode,CP2 (ref CS2),"recognized, not needed for the montage",1
chbmit,CP2-Ref,electrode,CP2 (ref REF),"recognized, not needed for the montage",40
chbmit,CP4,electrode,CP4,"recognized, not needed for the montage",2
chbmit,CP4-CS2,electrode,CP4 (ref CS2),"recognized, not needed for the montage",1
chbmit,CP5-Ref,electrode,CP5 (ref REF),"recognized, not needed for the montage",40
chbmit,CP6,electrode,CP6,"recognized, not needed for the montage",2
chbmit,CP6-CS2,electrode,CP6 (ref CS2),"recognized, not needed for the montage",1
chbmit,CP6-Ref,electrode,CP6 (ref REF),"recognized, not needed for the montage",40
chbmit,CZ,electrode,Cz,used,2
chbmit,CZ-CS2,electrode,Cz (ref CS2),used,1
chbmit,CZ-PZ,bipolar,Cz-Pz,used,683
chbmit,ECG,non_eeg,,excluded: non-EEG signal,36
chbmit,EKG1-CHIN,non_eeg,,excluded: non-EEG signal,2
chbmit,EKG1-EKG2,non_eeg,,excluded: non-EEG signal,1
chbmit,F3,electrode,F3,used,2
chbmit,F3-C3,bipolar,F3-C3,used,683
chbmit,F3-CS2,electrode,F3 (ref CS2),used,1
chbmit,F4,electrode,F4,used,2
chbmit,F4-C4,bipolar,F4-C4,used,683
chbmit,F4-CS2,electrode,F4 (ref CS2),used,1
chbmit,F7,electrode,F7,used,2
chbmit,F7-CS2,electrode,F7 (ref CS2),used,1
chbmit,F7-T7,bipolar,F7-T7,used,683
chbmit,F8,electrode,F8,used,2
chbmit,F8-CS2,electrode,F8 (ref CS2),used,1
chbmit,F8-T8,bipolar,F8-T8,used,683
chbmit,FC1-Ref,electrode,FC1 (ref REF),"recognized, not needed for the montage",40
chbmit,FC2-Ref,electrode,FC2 (ref REF),"recognized, not needed for the montage",40
chbmit,FC5-Ref,electrode,FC5 (ref REF),"recognized, not needed for the montage",40
chbmit,FC6-Ref,electrode,FC6 (ref REF),"recognized, not needed for the montage",40
chbmit,FP1,electrode,Fp1,used,2
chbmit,FP1-CS2,electrode,Fp1 (ref CS2),used,1
chbmit,FP1-F3,bipolar,Fp1-F3,used,683
chbmit,FP1-F7,bipolar,Fp1-F7,used,683
chbmit,FP2,electrode,Fp2,used,2
chbmit,FP2-CS2,electrode,Fp2 (ref CS2),used,1
chbmit,FP2-F4,bipolar,Fp2-F4,used,683
chbmit,FP2-F8,bipolar,Fp2-F8,used,683
chbmit,FT10-T8,bipolar,FT10-T8,"recognized, not needed for the montage",655
chbmit,FT9-FT10,bipolar,FT9-FT10,"recognized, not needed for the montage",655
chbmit,FZ,electrode,Fz,used,2
chbmit,FZ-CS2,electrode,Fz (ref CS2),used,1
chbmit,FZ-CZ,bipolar,Fz-Cz,used,683
chbmit,LOC-ROC,non_eeg,,excluded: non-EEG signal,11
chbmit,LUE-RAE,non_eeg,,excluded: non-EEG signal,1
chbmit,O1-CS2,electrode,O1 (ref CS2),used,1
chbmit,O2,electrode,O2,used,2
chbmit,O2-CS2,electrode,O2 (ref CS2),used,1
chbmit,P3,electrode,P3,used,2
chbmit,P3-CS2,electrode,P3 (ref CS2),used,1
chbmit,P3-O1,bipolar,P3-O1,used,683
chbmit,P4,electrode,P4,used,2
chbmit,P4-CS2,electrode,P4 (ref CS2),used,1
chbmit,P4-O2,bipolar,P4-O2,used,683
chbmit,P7,electrode,P7,used,2
chbmit,P7-CS2,electrode,P7 (ref CS2),used,1
chbmit,P7-O1,bipolar,P7-O1,used,683
chbmit,P7-T7,bipolar,P7-T7,"recognized, not needed for the montage",655
chbmit,P8,electrode,P8,used,2
chbmit,P8-CS2,electrode,P8 (ref CS2),used,1
chbmit,P8-O2,bipolar,P8-O2,used,683
chbmit,PZ,electrode,Pz,used,2
chbmit,PZ-CS2,electrode,Pz (ref CS2),used,1
chbmit,PZ-OZ,bipolar,Pz-Oz,"recognized, not needed for the montage",39
chbmit,T7,electrode,T7,used,2
chbmit,T7-CS2,electrode,T7 (ref CS2),used,1
chbmit,T7-FT9,bipolar,T7-FT9,"recognized, not needed for the montage",655
chbmit,T7-P7,bipolar,T7-P7,used,683
chbmit,T8,electrode,T8,used,2
chbmit,T8-CS2,electrode,T8 (ref CS2),used,1
chbmit,T8-P8,bipolar,T8-P8,excluded: duplicate of an earlier channel,655
chbmit,T8-P8,bipolar,T8-P8,used,683
chbmit,VNS,non_eeg,,excluded: non-EEG signal,18
mental_arith,ECG ECG,non_eeg,,excluded: non-EEG signal,72
mental_arith,EDF Annotations,unrecognized,,unrecognized label,72
mental_arith,EEG A2-A1,bipolar,A2-A1,"recognized, not needed for the montage",72
mental_arith,EEG C3,electrode,C3,used,72
mental_arith,EEG C4,electrode,C4,used,72
mental_arith,EEG Cz,electrode,Cz,used,72
mental_arith,EEG F3,electrode,F3,used,72
mental_arith,EEG F4,electrode,F4,used,72
mental_arith,EEG F7,electrode,F7,used,72
mental_arith,EEG F8,electrode,F8,used,72
mental_arith,EEG Fp1,electrode,Fp1,used,72
mental_arith,EEG Fp2,electrode,Fp2,used,72
mental_arith,EEG Fz,electrode,Fz,used,72
mental_arith,EEG O1,electrode,O1,used,72
mental_arith,EEG O2,electrode,O2,used,72
mental_arith,EEG P3,electrode,P3,used,72
mental_arith,EEG P4,electrode,P4,used,72
mental_arith,EEG Pz,electrode,Pz,used,72
mental_arith,EEG T3,electrode,T7,used,72
mental_arith,EEG T4,electrode,T8,used,72
mental_arith,EEG T5,electrode,P7,used,72
mental_arith,EEG T6,electrode,P8,used,72
siena,1,numbered,,excluded: numbered channel with no electrode position,41
siena,2,numbered,,excluded: numbered channel with no electrode position,41
siena,23,numbered,,excluded: numbered channel with no electrode position,8
siena,3,numbered,,excluded: numbered channel with no electrode position,8
siena,31,numbered,,excluded: numbered channel with no electrode position,8
siena,33,numbered,,excluded: numbered channel with no electrode position,8
siena,61,numbered,,excluded: numbered channel with no electrode position,25
siena,62,numbered,,excluded: numbered channel with no electrode position,25
siena,63,numbered,,excluded: numbered channel with no electrode position,25
siena,64,numbered,,excluded: numbered channel with no electrode position,25
siena,A,unrecognized,,unrecognized label,8
siena,B,unrecognized,,unrecognized label,25
siena,C,unrecognized,,unrecognized label,25
siena,D,unrecognized,,unrecognized label,25
siena,EEG C3,electrode,C3,used,41
siena,EEG C4,electrode,C4,used,41
siena,EEG CZ,electrode,Cz,used,8
siena,EEG Cp1,electrode,CP1,"recognized, not needed for the montage",41
siena,EEG Cp2,electrode,CP2,"recognized, not needed for the montage",41
siena,EEG Cp5,electrode,CP5,"recognized, not needed for the montage",41
siena,EEG Cp6,electrode,CP6,"recognized, not needed for the montage",41
siena,EEG Cz,electrode,Cz,used,33
siena,EEG F10,electrode,F10,"recognized, not needed for the montage",41
siena,EEG F3,electrode,F3,used,41
siena,EEG F4,electrode,F4,used,41
