seed,dataset,threshold,hours,false_alarms,far_per_24h,patients,median_patient_far,p90_patient_far
0,tusz,0.9259259259259259,1014.04,2674,63.287426945841126,592,68.85442006525562,163.88094467809768
0,mental_arith,0.9259259259259259,1.87,0,0.0,36,nan,nan
1,tusz,0.8688688688688688,1014.04,3148,74.50591623990572,592,76.80608949715517,173.2646485555187
1,mental_arith,0.8688688688688688,1.87,2,25.657015590200448,36,nan,nan
2,tusz,0.8908908908908909,1014.04,3087,73.06218660501554,592,73.76809877443164,172.50135978216352
2,mental_arith,0.8908908908908909,1.87,1,12.828507795100224,36,nan,nan
3,tusz,0.9429429429429429,1014.04,2683,63.50043623623476,592,70.03513075474177,158.374863161632
3,mental_arith,0.9429429429429429,1.87,0,0.0,36,nan,nan
4,tusz,0.9239239239239239,1014.04,3126,73.98522686338795,592,73.89368701506973,173.93718310571757
4,mental_arith,0.9239239239239239,1.87,2,25.657015590200448,36,nan,nan
