seed,fold,test,inner,n_train_subjects,n_train_windows,threshold,inner_far_per_24h,threshold_fixed_before_test_scored
0,0,chbmit:chb01,chbmit:chb08;chbmit:chb09;chbmit:chb14;chbmit:chb16;chbmit:chb20,31,638136,0.8908908908908909,9.810470936669097,True
0,1,chbmit:chb02,chbmit:chb09;chbmit:chb13;chbmit:chb15;chbmit:chb22;siena:PN03,31,639787,0.9529529529529529,9.81357241295755,True
0,2,chbmit:chb03,chbmit:chb02;chbmit:chb07;chbmit:chb08;chbmit:chb11;chbmit:chb23,31,646750,0.8598598598598598,9.784590354815814,True
0,3,chbmit:chb04,chbmit:chb13;chbmit:chb19;chbmit:chb22;chbmit:chb23;siena:PN03,31,589750,0.9579579579579579,9.912519718915815,True
0,4,chbmit:chb05,chbmit:chb07;chbmit:chb11;chbmit:chb13;chbmit:chb22;chbmit:chb23,31,639787,0.8658658658658659,9.839650145772595,True
0,5,chbmit:chb06,chbmit:chb10;chbmit:chb11;chbmit:chb15;chbmit:chb16;chbmit:chb22,31,632487,0.8768768768768769,9.962911012245389,True
0,6,chbmit:chb07,chbmit:chb05;chbmit:chb10;chbmit:chb11;chbmit:chb14;siena:PN14,31,635431,0.91991991991992,9.579641150641052,True
0,7,chbmit:chb08,chbmit:chb01;chbmit:chb05;chbmit:chb16;chbmit:chb18;chbmit:chb20,31,652132,0.8598598598598598,9.957870309080857,True
0,8,chbmit:chb09,chbmit:chb03;chbmit:chb07;chbmit:chb18;chbmit:chb20;siena:PN01,31,626539,0.8768768768768769,9.988357987804383,True
0,9,chbmit:chb10,chbmit:chb05;chbmit:chb06;chbmit:chb11;chbmit:chb14;siena:PN07,31,644084,0.8738738738738738,9.892678925422107,True
0,10,chbmit:chb11,chbmit:chb05;chbmit:chb06;chbmit:chb13;chbmit:chb15;chbmit:chb23,31,633572,0.8418418418418419,9.908035534771503,True
0,11,chbmit:chb13,chbmit:chb03;chbmit:chb05;chbmit:chb11;chbmit:chb14;siena:PN07,31,677166,0.9239239239239239,9.734513274336283,True
0,12,chbmit:chb14,chbmit:chb05;chbmit:chb09;chbmit:chb17;chbmit:chb22;siena:PN14,31,658423,0.9379379379379379,9.931034482758623,True
0,13,chbmit:chb15,chbmit:chb03;chbmit:chb14;chbmit:chb16;chbmit:chb17;siena:PN07,31,696313,0.9089089089089089,9.947777457954686,True
0,14,chbmit:chb16,chbmit:chb04;chbmit:chb13;chbmit:chb14;chbmit:chb19;siena:PN14,31,601537,0.953953953953954,9.555533655267567,True
0,15,chbmit:chb17,chbmit:chb07;chbmit:chb10;chbmit:chb15;chbmit:chb16;chbmit:chb18,31,638810,0.8238238238238238,9.772304734167015,True
0,16,chbmit:chb18,chbmit:chb04;chbmit:chb06;chbmit:chb15;chbmit:chb19;siena:PN14,31,555267,0.9369369369369369,9.854760825156717,True
0,17,chbmit:chb19,chbmit:chb01;chbmit:chb08;chbmit:chb13;chbmit:chb20;siena:PN01,31,664381,0.8878878878878879,9.92931347421994,True
