seed,subject,dataset,seizures,folds_scored,auroc,clock_only_auroc
0,chbmit:chb01,chbmit,10,10,0.5968993936857192,0.6928724404035502
1,chbmit:chb01,chbmit,10,10,0.6201858814438818,0.6928724404035502
2,chbmit:chb01,chbmit,10,10,0.6069514782313763,0.6928724404035502
3,chbmit:chb01,chbmit,10,10,0.657058353229298,0.6928724404035502
4,chbmit:chb01,chbmit,10,10,0.5694402244032042,0.6928724404035502
0,chbmit:chb02,chbmit,2,1,0.4616311352107547,0.9725473945923547
1,chbmit:chb02,chbmit,2,1,0.4616311352107547,0.9725473945923547
2,chbmit:chb02,chbmit,2,1,0.4616311352107547,0.9725473945923547
3,chbmit:chb02,chbmit,2,1,0.4616311352107547,0.9725473945923547
4,chbmit:chb02,chbmit,2,1,0.4616311352107547,0.9725473945923547
0,chbmit:chb03,chbmit,6,6,0.5845420734771241,0.020079460516054276
1,chbmit:chb03,chbmit,6,6,0.597122877006612,0.020079460516054276
2,chbmit:chb03,chbmit,6,6,0.5584608259314403,0.020079460516054276
3,chbmit:chb03,chbmit,6,6,0.5998426881073031,0.020079460516054276
4,chbmit:chb03,chbmit,6,6,0.5484161843356242,0.020079460516054276
0,chbmit:chb04,chbmit,4,4,0.5764456220775054,0.3394809177327323
1,chbmit:chb04,chbmit,4,4,0.5853168799138336,0.3394809177327323
2,chbmit:chb04,chbmit,4,4,0.614583566644511,0.3394809177327323
3,chbmit:chb04,chbmit,4,4,0.5684953228977659,0.3394809177327323
4,chbmit:chb04,chbmit,4,4,0.5994684438288065,0.3394809177327323
0,chbmit:chb05,chbmit,5,4,0.823404950368523,0.6638306749525437
1,chbmit:chb05,chbmit,5,4,0.823404950368523,0.6638306749525437
2,chbmit:chb05,chbmit,5,4,0.823404950368523,0.6638306749525437
3,chbmit:chb05,chbmit,5,4,0.823404950368523,0.6638306749525437
4,chbmit:chb05,chbmit,5,4,0.823404950368523,0.6638306749525437
0,chbmit:chb06,chbmit,10,10,0.6012892286927431,0.43825158727145175
1,chbmit:chb06,chbmit,10,10,0.6148258916623811,0.43825158727145175
2,chbmit:chb06,chbmit,10,10,0.6221608859915311,0.43825158727145175
3,chbmit:chb06,chbmit,10,10,0.6096950846120246,0.43825158727145175
