seed,subject,dataset,setup,alarm_smoothing,alarm_persistence,auroc,auroc_without_clock,clock_only_auroc,d1_auroc,macro_f1,threshold,events,predicted,false_alarms,far_per_24h,sensitivity,time_in_warning,median_warning_s
0,chbmit:chb01,chbmit,norm=off ctx=5min clock=off tusz=on,1,1,0.4753718335489191,0.4753718335489191,0.8231825223372383,0.5187696916014645,0.3804691891966842,0.991991991991992,10,0,10,3.5432344317086675,0.0,0.0681675213023504,nan
0,chbmit:chb02,chbmit,norm=on ctx=10min clock=on tusz=off,1,1,0.6766694153880783,0.5536098792366202,1.0,0.33971274779074223,0.4194449718010591,0.9099099099099099,2,0,8,5.652138359636929,0.0,0.10777041767482448,nan
0,chbmit:chb03,chbmit,norm=on ctx=10min clock=on tusz=off,36,1,0.5853122217384491,0.5023974421897069,0.5743052344617355,0.4835377608055623,0.4466487000526593,0.8028028028028028,6,1,4,2.768343479653957,0.16666666666666666,0.05785580214198962,605.0
0,chbmit:chb04,chbmit,norm=off ctx=0min clock=on tusz=off,1,1,0.23488529376671996,0.31299214897503913,0.3465516312707213,0.31299214897503913,0.25994528122993904,0.990990990990991,4,1,23,3.5912820327465935,0.25,0.07359786000891663,124.0
0,chbmit:chb05,chbmit,norm=off ctx=2min clock=on tusz=off,6,1,0.6167899982879582,0.5280469958445657,0.8010851836062962,0.5481912602033588,0.46922925905207413,0.8998998998998999,5,2,13,8.642659279778393,0.4,0.19191738085846452,534.5
0,chbmit:chb06,chbmit,norm=off ctx=10min clock=on tusz=on,1,1,0.5157175011747133,0.4766675602283793,0.6752909970043431,0.4474824648377469,0.35745724286579206,0.938938938938939,10,0,6,2.3368193292463038,0.0,0.04395512740314442,nan
0,chbmit:chb07,chbmit,norm=off ctx=5min clock=on tusz=off,36,1,0.8597910054821635,0.34844557264259124,0.949809195582853,0.5453510312436185,0.5328708131906829,0.8848848848848849,3,0,13,4.7759163194149155,0.0,0.09526379145739072,nan
0,chbmit:chb08,chbmit,norm=off ctx=0min clock=on tusz=off,1,6,0.1096339880618652,0.4196290009323763,0.19852105281091342,0.4196290009323763,0.29102980619313557,0.8138138138138138,5,0,7,9.815791609186075,0.0,0.16086409395973153,nan
0,chbmit:chb09,chbmit,norm=off ctx=0min clock=on tusz=off,36,3,0.32398983679071236,0.2789156493364065,0.5931386787843884,0.2789156493364065,0.13229803575421725,0.7577577577577578,4,0,34,12.427184466019419,0.0,0.24964629170169575,nan
0,chbmit:chb10,chbmit,norm=off ctx=5min clock=on tusz=off,36,1,0.6092708196749272,0.6356749304687193,0.7751423672296328,0.6152556000797386,0.3528896182529259,0.5865865865865866,6,0,3,1.5407019942342555,0.0,0.02148230704931736,nan
0,chbmit:chb11,chbmit,norm=off ctx=5min clock=on tusz=off,1,1,0.8697289120056724,0.7112493990121946,0.7490060025933535,0.5175014933636376,0.49915802855585567,0.924924924924925,1,0,2,1.419185282522996,0.0,0.028261306532663316,nan
0,chbmit:chb13,chbmit,norm=off ctx=0min clock=on tusz=off,1,6,0.6979886860029397,0.6724082355133222,0.4559183953377637,0.6724082355133222,0.4139117670107167,0.8258258258258259,5,1,7,5.574964280776144,0.2,0.1078618351345624,1178.0
0,chbmit:chb14,chbmit,norm=off ctx=2min clock=off tusz=off,1,1,0.40643672337151554,0.40643672337151554,0.45741492892852453,0.4580402607738661,0.2692142826524926,0.974974974974975,6,0,0,0.0,0.0,0.0,nan
0,chbmit:chb15,chbmit,norm=off ctx=0min clock=on tusz=off,1,1,0.7311099863254651,0.4230364178870746,0.5573667711598747,0.4230364178870746,0.16184831086862614,0.9359359359359359,9,0,1,0.6908131446390021,0.0,0.037754317276095926,761.5
