fold,test,step,inner_auroc_by_option,chosen
0,chbmit:chb01,normalize,"{""False"": 0.5146, ""True"": 0.4875}",False
1,chbmit:chb02,normalize,"{""False"": 0.5181, ""True"": 0.5245}",True
2,chbmit:chb03,normalize,"{""False"": 0.5193, ""True"": 0.5999}",True
3,chbmit:chb04,normalize,"{""False"": 0.638, ""True"": 0.5148}",False
4,chbmit:chb05,normalize,"{""False"": 0.5823, ""True"": 0.5809}",False
5,chbmit:chb06,normalize,"{""False"": 0.5744, ""True"": 0.5404}",False
6,chbmit:chb07,normalize,"{""False"": 0.6291, ""True"": 0.5619}",False
7,chbmit:chb08,normalize,"{""False"": 0.5589, ""True"": 0.4648}",False
8,chbmit:chb09,normalize,"{""False"": 0.6548, ""True"": 0.5657}",False
9,chbmit:chb10,normalize,"{""False"": 0.5536, ""True"": 0.5217}",False
10,chbmit:chb11,normalize,"{""False"": 0.5838, ""True"": 0.5164}",False
11,chbmit:chb13,normalize,"{""False"": 0.5366, ""True"": 0.5281}",False
12,chbmit:chb14,normalize,"{""False"": 0.6154, ""True"": 0.5771}",False
13,chbmit:chb15,normalize,"{""False"": 0.533, ""True"": 0.4873}",False
14,chbmit:chb16,normalize,"{""False"": 0.5348, ""True"": 0.4969}",False
15,chbmit:chb17,normalize,"{""False"": 0.4817, ""True"": 0.5025}",True
16,chbmit:chb18,normalize,"{""False"": 0.5258, ""True"": 0.5084}",False
17,chbmit:chb19,normalize,"{""False"": 0.6089, ""True"": 0.5705}",False
18,chbmit:chb20,normalize,"{""False"": 0.5656, ""True"": 0.5679}",True
19,chbmit:chb22,normalize,"{""False"": 0.5236, ""True"": 0.5342}",True
20,chbmit:chb23,normalize,"{""False"": 0.5016, ""True"": 0.4973}",False
21,siena:PN01,normalize,"{""False"": 0.4889, ""True"": 0.567}",True
22,siena:PN03,normalize,"{""False"": 0.6364, ""True"": 0.5894}",False
23,siena:PN07,normalize,"{""False"": 0.5499, ""True"": 0.6074}",True
24,siena:PN14,normalize,"{""False"": 0.4257, ""True"": 0.4469}",True
full,,normalize,"{""False"": 0.4444, ""True"": 0.5358}",True
0,chbmit:chb01,context,"{""0"": 0.5146, ""2"": 0.4816, ""5"": 0.5385, ""10"": 0.5016}",5
1,chbmit:chb02,context,"{""0"": 0.5245, ""2"": 0.5349, ""5"": 0.5457, ""10"": 0.5564}",10
2,chbmit:chb03,context,"{""0"": 0.5999, ""2"": 0.5994, ""5"": 0.5929, ""10"": 0.6489}",10
3,chbmit:chb04,context,"{""0"": 0.638, ""2"": 0.6155, ""5"": 0.6175, ""10"": 0.6246}",0
